ACADEMIC_YEAR,SEMESTER,PROGRAM,TOTAL_ENROLLMENT,TIME_INDEX,PROGRAM_TIME_INDEX
2022,1,BSED-SOCSTUD,127,5,5
2022,1,BSISM,872,5,3
2022,1,BSOA,376,5,5
2022,1,GEN  MID,293,5,5
2022,2,AB COMM,81,6,6
2022,2,AB ENGLISH,151,6,6
2022,2,AB POLSCI,99,6,6
2022,2,BEED,92,6,6
2022,2,BS CRIM,1018,6,6
2022,2,BSBA-HRDM,1,6,6
2022,2,BSBA-HRM,591,6,6
2022,2,BSBA-MM,732,6,6
2022,2,BSCS,153,6,6
2022,2,BSED-ENGL,194,6,6
2022,2,BSED-FIL,136,6,6
2022,2,BSED-MATH,96,6,6
2022,2,BSED-SOCSTUD,119,6,6
2022,2,BSISM,758,6,4
2022,2,BSOA,329,6,6
2022,2,GEN  MID,185,6,6
2023,1,AB COMM,173,7,7
2023,1,AB ENGLISH,227,7,7
2023,1,AB POLSCI,156,7,7
2023,1,BEED,143,7,7
2023,1,BS CRIM,1052,7,7
2023,1,BSBA-HRDM,1,7,7
2023,1,BSBA-HRM,791,7,7
2023,1,BSBA-MM,890,7,7
2023,1,BSCS,207,7,7
2023,1,BSED-ENGL,257,7,7
2023,1,BSED-FIL,159,7,7
2023,1,BSED-MATH,108,7,7
2023,1,BSED-SOCSTUD,108,7,7
2023,1,BSISM,1467,7,5
2023,1,BSM,179,7,1
2023,1,BSOA,410,7,7
2023,1,GEN  MID,131,7,7
2023,2,AB COMM,157,8,8
2023,2,AB ENGLISH,219,8,8
2023,2,AB POLSCI,142,8,8
2023,2,BEED,136,8,8
2023,2,BS CRIM,850,8,8
2023,2,BSBA-HRDM,1,8,8
2023,2,BSBA-HRM,698,8,8
2023,2,BSBA-MM,839,8,8
2023,2,BSCS,169,8,8
2023,2,BSED-ENGL,249,8,8
2023,2,BSED-FIL,146,8,8
2023,2,BSED-MATH,106,8,8
2023,2,BSED-SOCSTUD,105,8,8
2023,2,BSISM,1274,8,6
2023,2,BSM,160,8,2
2023,2,BSOA,386,8,8
2023,2,GEN  MID,121,8,8
2024,1,AB COMM,279,9,9
2024,1,AB ENGLISH,290,9,9
2024,1,AB POLSCI,171,9,9
2024,1,BEED,193,9,9
2024,1,BS CRIM,822,9,9
2024,1,BSBA-HRM,892,9,9
2024,1,BSBA-MM,1042,9,9
2024,1,BSCS,247,9,9
2024,1,BSED-ENGL,250,9,9
2024,1,BSED-FIL,150,9,9
2024,1,BSED-MATH,115,9,9
2024,1,BSED-SOCSTUD,96,9,9
2024,1,BSISM,1811,9,7
2024,1,BSM,335,9,3
2024,1,BSOA,432,9,9
2024,1,GEN  MID,14,9,9
2024,2,AB COMM,253,10,10
2024,2,AB ENGLISH,265,10,10
2024,2,AB POLSCI,160,10,10
2024,2,BEED,170,10,10
2024,2,BS CRIM,641,10,10
2024,2,BSBA-HRM,796,10,10
2024,2,BSBA-MM,949,10,10
2024,2,BSCS,219,10,10
2024,2,BSED-ENGL,237,10,10
2024,2,BSED-FIL,142,10,10
2024,2,BSED-MATH,108,10,10
2024,2,BSED-SOCSTUD,85,10,10
2024,2,BSISM,1552,10,8
2024,2,BSM,324,10,4
2024,2,BSOA,418,10,10
2024,2,GEN  MID,9,10,10
2025,1,AB COMM,304,11,11
2025,1,AB ENGLISH,328,11,11
2025,1,AB POLSCI,191,11,11
2025,1,BEED,203,11,11
2025,1,BS CRIM,595,11,11
2025,1,BSBA-HRM,958,11,11
2025,1,BSBA-MM,1170,11,11
2025,1,BSCS,305,11,11
2025,1,BSED-ENGL,219,11,11
2025,1,BSED-FIL,154,11,11
2025,1,BSED-MATH,111,11,11
2025,1,BSED-SOCSTUD,86,11,11
2025,1,BSISM,1612,11,9
2025,1,BSM,829,11,5
2025,1,BSOA,477,11,11
2025,1,GEN  MID,3,11,11
2025,2,AB COMM,291,12,12
2025,2,AB ENGLISH,299,12,12
2025,2,AB POLSCI,182,12,12
2025,2,BEED,192,12,12
2025,2,BS CRIM,506,12,12
2025,2,BSBA-HRM,845,12,12
2025,2,BSBA-MM,1077,12,12
2025,2,BSCS,268,12,12
2025,2,BSED-ENGL,209,12,12
2025,2,BSED-FIL,146,12,12
2025,2,BSED-MATH,107,12,12
2025,2,BSED-SOCSTUD,80,12,12
2025,2,BSISM,1422,12,10
2025,2,BSM,711,12,6
2025,2,BSOA,444,12,12
2025,2,GEN  MID,1,12,12
